id,name,origin,temperament,life_span,image_url
crex,Cornish Rex,United Kingdom,"Affectionate, Intelligent, Active, Curious, Playful",11 - 14,
cymr,Cymric,Canada,"Gentle, Loyal, Intelligent, Playful",8 - 14,
cypr,Cyprus,Cyprus,"Affectionate, Social",12 - 15,
drex,Devon Rex,United Kingdom,"Highly interactive, Mischievous, Loyal, Social, Playful",10 - 15,
dons,Donskoy,Russia,"Playful, affectionate, loyal, social",12 - 15,
lihu,Dragon Li,China,"Intelligent, Friendly, Gentle, Loving, Loyal",12 - 15,
emau,Egyptian Mau,Egypt,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful",18 - 20,
ebur,European Burmese,Burma,"Sweet, Affectionate, Loyal",10 - 15,
esho,Exotic Shorthair,United States,"Affectionate, Sweet, Loyal, Quiet, Peaceful",12 - 15,
hbro,Havana Brown,United Kingdom,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",10 - 15,
hima,Himalayan,United States,"Dependent, Gentle, Intelligent, Quiet, Social",9 - 15,
jbob,Japanese Bobtail,Japan,"Active, Agile, Clever, Easy Going, Intelligent, Lively, Loyal, Playful, Social",14 - 16,
java,Javanese,United States,"Active, Devoted, Intelligent, Playful",10 - 12,
khao,Khao Manee,Thailand,"Calm, Relaxed, Talkative, Playful, Warm",10 - 12,
kora,Korat,Thailand,"Active, Loyal, highly intelligent, Expressive, Trainable",10 - 15,
kuri,Kurilian,Russia,"Independent, highly intelligent, clever, inquisitive, sociable, playful, trainable",15 - 20,
lape,LaPerm,Thailand,"Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet",10 - 15,
mcoo,Maine Coon,United States,"Adaptable, Intelligent, Loving, Gentle, Independent",12 - 15,
mala,Malayan,United Kingdom,"Affectionate, Interactive, Playful, Social",12 - 18,
manx,Manx,Isle of Man,"Easy Going, Intelligent, Loyal, Playful, Social",12 - 14,
munc,Munchkin,United States,"Agile, Easy Going, Intelligent, Playful",10 - 15,
nebe,Nebelung,United States,"Gentle, Quiet, Shy, Playful",11 - 16,
norw,Norwegian Forest Cat,Norway,"Sweet, Active, Intelligent, Social, Playful, Lively, Curious",12 - 16,
ocic,Ocicat,United States,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social",12 - 14,
orie,Oriental,United States,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",12 - 14,
pers,Persian,Iran (Persia),"Affectionate, loyal, Sedate, Quiet",14 - 15,
pixi,Pixie-bob,United States,"Affectionate, Social, Intelligent, Loyal",13 - 16,
raga,Ragamuffin,United States,"Affectionate, Friendly, Gentle, Calm",12 - 16,
ragd,Ragdoll,United States,"Affectionate, Friendly, Gentle, Quiet, Easygoing",12 - 17,
rblu,Russian Blue,Russia,"Active, Dependent, Easy Going, Gentle, Intelligent, Loyal, Playful, Quiet",10 - 16,
sava,Savannah,United States,"Curious, Social, Intelligent, Loyal, Outgoing, Adventurous, Affectionate",17 - 20,
sfol,Scottish Fold,United Kingdom,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",11 - 14,
srex,Selkirk Rex,United States,"Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social",14 - 15,
siam,Siamese,Thailand,"Active, Agile, Clever, Sociable, Loving, Energetic",12 - 15,
sibe,Siberian,Russia,"Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate",12 - 15,
sing,Singapura,Singapore,"Affectionate, Curious, Easy Going, Intelligent, Interactive, Lively, Loyal",12 - 15,
snow,Snowshoe,United States,"Affectionate, Social, Intelligent, Sweet-tempered",14 - 19,
soma,Somali,Somalia,"Mischievous, Tenacious, Intelligent, Affectionate, Gentle, Interactive, Loyal",12 - 16,
sphy,Sphynx,Canada,"Loyal, Inquisitive, Friendly, Quiet, Gentle",12 - 14,
tonk,Tonkinese,Canada,"Curious, Intelligent, Social, Lively, Outgoing, Playful, Affectionate",14 - 16,
toyg,Toyger,United States,"Playful, Social, Intelligent",12 - 15,
tang,Turkish Angora,Turkey,"Affectionate, Agile, Clever, Gentle, Intelligent, Playful, Social",15 - 18,
tvan,Turkish Van,Turkey,"Agile, Intelligent, Loyal, Playful, Energetic",12 - 17,
ycho,York Chocolate,United States,"Playful, Social, Intelligent, Curious, Friendly",13 - 15,
